code,name,year,month,year_month,up_count
000503,国新健康,2024,4,2024-04,2
000503,国新健康,2025,4,2025-04,1
000504,*ST生物,2023,3,2023-03,1
000504,*ST生物,2024,3,2024-03,3
000504,*ST生物,2025,3,2025-03,1
000504,*ST生物,2023,4,2023-04,1
000504,*ST生物,2024,4,2024-04,2
000504,*ST生物,2025,4,2025-04,1
000504,*ST生物,2023,5,2023-05,1
000504,*ST生物,2024,5,2024-05,3
000504,*ST生物,2025,5,2025-05,3
000506,招金黄金,2023,3,2023-03,5
000506,招金黄金,2024,3,2024-03,3
000506,招金黄金,2025,3,2025-03,1
000506,招金黄金,2023,4,2023-04,3
000506,招金黄金,2024,4,2024-04,7
000506,招金黄金,2025,4,2025-04,4
000506,招金黄金,2023,7,2023-07,3
000506,招金黄金,2024,7,2024-07,7
000506,招金黄金,2025,7,2025-07,1
000506,招金黄金,2023,9,2023-09,3
000506,招金黄金,2024,9,2024-09,2
000506,招金黄金,2025,9,2025-09,4
000506,招金黄金,2023,10,2023-10,1
000506,招金黄金,2024,10,2024-10,7
000506,招金黄金,2025,10,2025-10,4
000510,新金路,2023,6,2023-06,1
000510,新金路,2024,6,2024-06,1
000510,新金路,2025,6,2025-06,1
000514,渝 开 发,2023,7,2023-07,1
000514,渝 开 发,2024,7,2024-07,1
000514,渝 开 发,2025,7,2025-07,5
000518,*ST四环,2023,8,2023-08,1
000518,*ST四环,2024,8,2024-08,4
000518,*ST四环,2025,8,2025-08,1
000520,凤凰航运,2023,2,2023-02,1
000520,凤凰航运,2024,2,2024-02,1
000520,凤凰航运,2025,2,2025-02,1
000520,凤凰航运,2023,11,2023-11,1
000520,凤凰航运,2024,11,2024-11,2
000520,凤凰航运,2025,11,2025-11,3
000520,凤凰航运,2023,12,2023-12,1
000520,凤凰航运,2024,12,2024-12,2
000520,凤凰航运,2025,12,2025-12,1
000521,长虹美菱,2023,4,2023-04,5
000521,长虹美菱,2024,4,2024-04,2
000521,长虹美菱,2025,4,2025-04,2
000524,岭南控股,2023,4,2023-04,2
000524,岭南控股,2024,4,2024-04,2
000524,岭南控股,2025,4,2025-04,6
000525,红太阳,2023,3,2023-03,2
000525,红太阳,2024,3,2024-03,3
000525,红太阳,2025,3,2025-03,1
000525,红太阳,2023,5,2023-05,3
000525,红太阳,2024,5,2024-05,2
000525,红太阳,2025,5,2025-05,1
000526,学大教育,2023,4,2023-04,2
000526,学大教育,2024,4,2024-04,1
000526,学大教育,2025,4,2025-04,2
